No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
19,13 July 1950,Group F,Brazil,Spain,6-1,,"Estádio do Maracanã, Rio de Janeiro","Parra 15' (o.g.) Jair 21' Chico 31', 55' Ademir 57' Zizinho 67'",Igoa 71'
20,13 July 1950,Group F,Uruguay,Sweden,3-2,,"Estádio do Pacaembu, São Paulo","Ghiggia 39' Míguez 77', 85'",Palmér 5' Sundqvist 40'
21,16 July 1950,Group F,Sweden,Spain,3-1,,"Estádio do Pacaembu, São Paulo",Sundqvist 15' Mellberg 33' Palmér 80',Zarra 82'
22,16 July 1950,Group F,Uruguay,Brazil,2-1,,"Estádio do Maracanã, Rio de Janeiro",Schiaffino 66' Ghiggia 79',Friaça 47'
3,16 June 1954,Group 1,Brazil,Mexico,5-0,,"Charmilles Stadium, Geneva",,
4,16 June 1954,Group 1,Yugoslavia,France,1-0,,"Stade Olympique de la Pontaise, Lausanne",,
10,19 June 1954,Group 1,Brazil,Yugoslavia,1-1 a.e.t. (1-1),(1-1),"Stade Olympique de la Pontaise, Lausanne",,
11,19 June 1954,Group 1,France,Mexico,3-2,,"Charmilles Stadium, Geneva",,
5,17 June 1954,Group 2,West Germany,Turkey,4-1,,"Wankdorf Stadium, Bern",,
8,17 June 1954,Group 2,Hungary,South Korea,9-0,,"Hardturm Stadium, Zürich",,
14,20 June 1954,Group 2,Hungary,West Germany,8-3,,"St. Jakob Stadium, Basel",,
15,20 June 1954,Group 2,Turkey,South Korea,7-0,,"Charmilles Stadium, Geneva",,
25,23 June 1954,# note: use Group 2 Play off e.g. Group 2 instead of Group 2 to avoid group match in round header   fix!!!,West Germany,Turkey,7-2,,"Hardturm Stadium, Zürich",,
1,16 June 1954,Group 3,Uruguay,Czechoslovakia,2-0,,"Wankdorf Stadium, Bern",,
2,16 June 1954,Group 3,Austria,Scotland,1-0,,"Hardturm Stadium, Zürich",,
9,19 June 1954,Group 3,Austria,Czechoslovakia,5-0,,"Hardturm Stadium, Zürich",,
12,19 June 1954,Group 3,Uruguay,Scotland,7-0,,"St. Jakob Stadium, Basel",,
6,17 June 1954,Group 4,England,Belgium,4-4 a.e.t. (3-3),(3-3),"St. Jakob Stadium, Basel",,
7,17 June 1954,Group 4,Switzerland,Italy,2-1,,"Stade Olympique de la Pontaise, Lausanne",,
13,20 June 1954,Group 4,England,Switzerland,2-0,,"Wankdorf Stadium, Bern",,
16,20 June 1954,Group 4,Italy,Belgium,4-1,,"Cornaredo Stadium, Lugano",,
26,23 June 1954,# note: use Group 4 Play off e.g. Group 4 instead of Group 4 to avoid group match in round header   fix!!!,Switzerland,Italy,4-1,,"St. Jakob Stadium, Basel",,
