No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
18,10 June 1978,Group 1,France,Hungary,3-1,,"Estadio José María Minella, Mar del Plata",,
1,1 June 1978,Group 2,West Germany,Poland,0-0,,"Estadio Monumental, Buenos Aires",,
4,2 June 1978,Group 2,Tunisia,Mexico,3-1,,"Estadio Gigante de Arroyito, Rosario",,
11,6 June 1978,Group 2,Poland,Tunisia,1-0,,"Estadio Gigante de Arroyito, Rosario",,
12,6 June 1978,Group 2,West Germany,Mexico,6-0,,"Estadio Chateau Carreras, Córdoba",,
19,10 June 1978,Group 2,Poland,Mexico,3-1,,"Estadio Gigante de Arroyito, Rosario",,
20,10 June 1978,Group 2,West Germany,Tunisia,0-0,,"Estadio Olímpico Chateau Carreras, Córdoba",,
5,3 June 1978,Group 3,Austria,Spain,2-1,,"Estadio José Amalfitani, Buenos Aires",,
6,3 June 1978,Group 3,Brazil,Sweden,1-1,,"Estadio José Maria Minella, Mar del Plata",,
13,7 June 1978,Group 3,Austria,Sweden,1-0,,"Estadio José Amalfitani, Buenos Aires",,
14,7 June 1978,Group 3,Brazil,Spain,0-0,,"Estadio José Maria Minella, Mar del Plata",,
21,11 June 1978,Group 3,Spain,Sweden,1-0,,"Estadio José Amalfitani, Buenos Aires",,
22,11 June 1978,Group 3,Brazil,Austria,1-0,,"Estadio José Maria Minella, Mar del Plata",,
7,3 June 1978,Group 4,Peru,Scotland,3-1,,"Estadio Chateau Carreras, Córdoba",,
8,3 June 1978,Group 4,Netherlands,Iran,3-0,,"Estadio Ciudad de Mendoza, Mendoza",,
15,7 June 1978,Group 4,Scotland,Iran,1-1,,"Estadio Chateau Carreras, Córdoba",,
16,7 June 1978,Group 4,Netherlands,Peru,0-0,,"Estadio Ciudad de Mendoza, Mendoza",,
23,11 June 1978,Group 4,Peru,Iran,4-1,,"Estadio Chateau Carreras, Córdoba",,
24,11 June 1978,Group 4,Scotland,Netherlands,3-2,,"Estadio Ciudad de Mendoza, Mendoza",,
25,14 June 1978,Group A,Italy,West Germany,0-0,,"Estadio Monumental, Buenos Aires",,
27,14 June 1978,Group A,Austria,Netherlands,1-5,,"Estadio Chateau Carreras, Córdoba",,
29,18 June 1978,Group A,Italy,Austria,1-0,,"Estadio Monumental, Buenos Aires",,
31,18 June 1978,Group A,Netherlands,West Germany,2-2,,"Estadio Chateau Carreras, Córdoba",,
33,21 June 1978,Group A,Italy,Netherlands,1-2,,"Estadio Monumental, Buenos Aires",,
35,21 June 1978,Group A,Austria,West Germany,3-2,,"Estadio Chateau Carreras, Córdoba",,
26,14 June 1978,Group B,Argentina,Poland,2-0,,"Estadio Gigante de Arroyito, Rosario",,
28,14 June 1978,Group B,Peru,Brazil,0-3,,"Estadio Ciudad de Mendoza, Mendoza",,
30,18 June 1978,Group B,Argentina,Brazil,0-0,,"Estadio Gigante de Arroyito, Rosario",,
32,18 June 1978,Group B,Peru,Poland,0-1,,"Estadio Ciudad de Mendoza, Mendoza",,
34,21 June 1978,Group B,Argentina,Peru,6-0,,"Estadio Gigante de Arroyito, Rosario",,
36,21 June 1978,Group B,Poland,Brazil,1-3,,"Estadio Ciudad de Mendoza, Mendoza",,
37,24 June 1978,Third place match,Brazil,Italy,2-1,,"Estadio Monumental, Buenos Aires",,
38,25 June 1978,Final,Netherlands,Argentina,1-3 a.e.t. (1-1),(1-1),"Estadio Monumental, Buenos Aires",,
2,14 June 1982,Group 1,Italy,Poland,0-0,,"Balaídos, Vigo",,
4,15 June 1982,Group 1,Peru,Cameroon,0-0,,"Estadio de Riazor, A Coruña",,
13,18 June 1982,Group 1,Italy,Peru,1-1,,"Balaídos, Vigo",,
16,19 June 1982,Group 1,Poland,Cameroon,0-0,,"Estadio de Riazor, A Coruña",,
25,22 June 1982,Group 1,Poland,Peru,5-1,,"Estadio de Riazor, A Coruña",,
28,23 June 1982,Group 1,Italy,Cameroon,1-1,,"Balaídos, Vigo",,
7,16 June 1982,Group 2,West Germany,Algeria,1-2,,"El Molinón, Gijón",,
10,17 June 1982,Group 2,Chile,Austria,0-1,,"Estadio Carlos Tartiere, Oviedo",,
19,20 June 1982,Group 2,West Germany,Chile,4-1,,"El Molinón, Gijón",,
22,21 June 1982,Group 2,Algeria,Austria,0-2,,"Estadio Carlos Tartiere, Oviedo",,
31,24 June 1982,Group 2,Algeria,Chile,3-2,,"Estadio Carlos Tartiere, Oviedo",,
34,25 June 1982,Group 2,West Germany,Austria,1-0,,"El Molinón, Gijón",,
1,13 June 1982,Group 3,Argentina,Belgium,0-1,,"Camp Nou, Barcelona",,
5,15 June 1982,Group 3,Hungary,El Salvador,10-1,,"Nuevo Estadio, Elche",,
14,18 June 1982,Group 3,Argentina,Hungary,4-1,,"Estadio José Rico Pérez, Alicante",,
17,19 June 1982,Group 3,Belgium,El Salvador,1-0,,"Nuevo Estadio, Elche",,
26,22 June 1982,Group 3,Belgium,Hungary,1-1,,"Nuevo Estadio, Elche",,
29,23 June 1982,Group 3,Argentina,El Salvador,2-0,,"Estadio José Rico Pérez, Alicante",,
8,16 June 1982,Group 4,England,France,3-1,,"Estadio San Mamés, Bilbao",,
11,17 June 1982,Group 4,Czechoslovakia,Kuwait,1-1,,"Estadio José Zorrilla, Valladolid",,
20,20 June 1982,Group 4,England,Czechoslovakia,2-0,,"Estadio San Mamés, Bilbao",,
23,21 June 1982,Group 4,France,Kuwait,4-1,,"Estadio José Zorrilla, Valladolid",,
32,24 June 1982,Group 4,France,Czechoslovakia,1-1,,"Estadio José Zorrilla, Valladolid",,
35,25 June 1982,Group 4,England,Kuwait,1-0,,"Estadio San Mamés, Bilbao",,
9,16 June 1982,Group 5,Spain,Honduras,1-1,,"Estadio Luis Casanova, Valencia",,
12,17 June 1982,Group 5,Yugoslavia,Northern Ireland,0-0,,"La Romareda, Zaragoza",,
21,20 June 1982,Group 5,Spain,Yugoslavia,2-1,,"Estadio Luis Casanova, Valencia",,
24,21 June 1982,Group 5,Honduras,Northern Ireland,1-1,,"La Romareda, Zaragoza",,
33,24 June 1982,Group 5,Honduras,Yugoslavia,0-1,,"La Romareda, Zaragoza",,
36,25 June 1982,Group 5,Spain,Northern Ireland,0-1,,"Estadio Luis Casanova, Valencia",,
3,14 June 1982,Group 6,Brazil,Soviet Union,2-1,,"Estadio Ramón Sánchez Pizjuán, Seville",,
6,15 June 1982,Group 6,Scotland,New Zealand,5-2,,"Estadio La Rosaleda, Málaga",,
15,18 June 1982,Group 6,Brazil,Scotland,4-1,,"Estadio Benito Villamarín, Seville",,
18,19 June 1982,Group 6,Soviet Union,New Zealand,3-0,,"Estadio La Rosaleda, Málaga",,
27,22 June 1982,Group 6,Soviet Union,Scotland,2-2,,"Estadio La Rosaleda, Málaga",,
30,23 June 1982,Group 6,Brazil,New Zealand,4-0,,"Estadio Benito Villamarín, Seville",,
38,28 June 1982,Group A,Poland,Belgium,3-0,,"Camp Nou, Barcelona",,
42,1 July 1982,Group A,Belgium,Soviet Union,0-1,,"Camp Nou, Barcelona",,
46,4 July 1982,Group A,Soviet Union,Poland,0-0,,"Camp Nou, Barcelona",,
40,29 June 1982,Group B,West Germany,England,0-0,,"Estadio Santiago Bernabéu, Madrid",,
44,2 July 1982,Group B,West Germany,Spain,2-1,,"Estadio Santiago Bernabéu, Madrid",,
48,5 July 1982,Group B,Spain,England,0-0,,"Estadio Santiago Bernabéu, Madrid",,
39,29 June 1982,Group C,Italy,Argentina,2-1,,"Estadio Sarriá, Barcelona",,
43,2 July 1982,Group C,Argentina,Brazil,1-3,,"Estadio Sarriá, Barcelona",,
47,5 July 1982,Group C,Italy,Brazil,3-2,,"Estadio Sarriá, Barcelona",,
37,28 June 1982,Group D,Austria,France,0-1,,"Estadio Vicente Calderón, Madrid",,
41,1 July 1982,Group D,Austria,Northern Ireland,2-2,,"Estadio Vicente Calderón, Madrid",,
45,4 July 1982,Group D,Northern Ireland,France,1-4,,"Estadio Vicente Calderón, Madrid",,
49,8 July 1982,Semi finals,Poland,Italy,0-2,,"Camp Nou, Barcelona",,
50,8 July 1982,Semi finals,West Germany,France,5-4 pen. 3-3 a.e.t. (1-1),(1-1),"Estadio Ramón Sánchez Pizjuán, Seville",,
51,10 July 1982,Third place match,Poland,France,3-2,,"Estadio José Rico Pérez, Alicante",,
52,11 July 1982,Final,Italy,West Germany,3-1,,Estadio Santiago Bernabéu,,
37,15 June 1986,Round of 16,Mexico,Bulgaria,2-0,,"Estadio Azteca, Mexico City",,
38,15 June 1986,Round of 16,Soviet Union,Belgium,3-4 a.e.t. (2-2),(2-2),"Estadio Nou Camp, León",,
39,16 June 1986,Round of 16,Argentina,Uruguay,1-0,,"Estadio Cuauhtémoc, Puebla",,
40,16 June 1986,Round of 16,Brazil,Poland,4-0,,"Estadio Jalisco, Guadalajara",,
41,17 June 1986,Round of 16,Italy,France,0-2,,"Estadio Olímpico Universitario, Mexico City",,
42,17 June 1986,Round of 16,Morocco,West Germany,0-1,,"Estadio Universitario, Monterrey",,
43,18 June 1986,Round of 16,England,Paraguay,3-0,,"Estadio Azteca, Mexico City",,
44,18 June 1986,Round of 16,Denmark,Spain,1-5,,"Estadio La Corregidora, Querétaro",,
45,21 June 1986,Quarter finals,Brazil,France,3-4pen 1-1aet (1-1),(1-1),"Estadio Jalisco, Guadalajara",,
46,21 June 1986,Quarter finals,West Germany,Mexico,4-1pen 0-0 (0-0),(0-0),"Estadio Universitario, Monterrey",,
47,22 June 1986,Quarter finals,Spain,Belgium,4-5pen 1-1 (1-1),(1-1),"Estadio Cuauhtémoc, Puebla",,
48,22 June 1986,Quarter finals,Argentina,England,2-1,,"Estadio Azteca, Mexico City",,
49,25 June 1986,Semi finals,Argentina,Belgium,2-0,,"Estadio Azteca, Mexico City",,
50,25 June 1986,Semi finals,France,West Germany,0-2,,"Estadio Jalisco, Guadalajara",,
51,28 June 1986,Third place match,France,Belgium,4-2aet (2-2),(2-2),"Estadio Cuauhtémoc, Puebla",,
52,29 June 1986,Final,Argentina,West Germany,3-2,,"Estadio Azteca, Mexico City",,
1,31 May 1986,Group A,Bulgaria,Italy,1-1,,"Estadio Azteca, Mexico City",,
4,2 June 1986,Group A,Argentina,South Korea,3-1,,"Estadio Olímpico Universitario, Mexico City",,
13,5 June 1986,Group A,Italy,Argentina,1-1,,"Estadio Cuauhtémoc, Puebla",,
14,5 June 1986,Group A,South Korea,Bulgaria,1-1,,"Estadio Olímpico Universitario, Mexico City",,
27,10 June 1986,Group A,South Korea,Italy,2-3,,"Estadio Cuauhtémoc, Puebla",,
28,10 June 1986,Group A,Argentina,Bulgaria,2-0,,"Estadio Olímpico Universitario, Mexico City",,
7,3 June 1986,Group B,Belgium,Mexico,1-2,,"Estadio Azteca, Mexico City",,
10,4 June 1986,Group B,Paraguay,Iraq,1-0,,"Estadio Nemesio Díez, Toluca",,
19,7 June 1986,Group B,Mexico,Paraguay,1-1,,"Estadio Azteca, Mexico City",,
22,8 June 1986,Group B,Iraq,Belgium,1-2,,"Estadio Nemesio Díez, Toluca",,
29,11 June 1986,Group B,Iraq,Mexico,0-1,,"Estadio Azteca, Mexico City",,
30,11 June 1986,Group B,Paraguay,Belgium,2-2,,"Estadio Nemesio Díez, Toluca",,
2,1 June 1986,Group C,Canada,France,0-1,,"Estadio Nou Camp, León",,
5,2 June 1986,Group C,Soviet Union,Hungary,6-0,,"Estadio Sergio León Chavez, Irapuato",,
15,5 June 1986,Group C,France,Soviet Union,1-1,,"Estadio Nou Camp, León",,
16,6 June 1986,Group C,Hungary,Canada,2-0,,"Estadio Sergio León Chavez, Irapuato",,
25,9 June 1986,Group C,Hungary,France,0-3,,"Estadio Nou Camp, León",,
26,9 June 1986,Group C,Soviet Union,Canada,2-0,,"Estadio Sergio León Chavez, Irapuato",,
3,1 June 1986,Group D,Spain,Brazil,0-1,,"Estadio Jalisco, Guadalajara",,
8,3 June 1986,Group D,Algeria,Northern Ireland,1-1,,"Estadio Tres de Marzo, Guadalajara",,
17,6 June 1986,Group D,Brazil,Algeria,1-0,,"Estadio Jalisco, Guadalajara",,
20,7 June 1986,Group D,Northern Ireland,Spain,1-2,,"Estadio Tres de Marzo, Guadalajara",,
33,12 June 1986,Group D,Northern Ireland,Brazil,0-3,,"Estadio Jalisco, Guadalajara",,
34,12 June 1986,Group D,Algeria,Spain,0-3,,"Estadio Tecnológico, Monterrey",,
11,4 June 1986,Group E,Uruguay,West Germany,1-1,,"Estadio La Corregidora, Querétaro",,
12,4 June 1986,Group E,Scotland,Denmark,0-1,,"Estadio Neza 86, Nezahualcóyotl",,
23,8 June 1986,Group E,West Germany,Scotland,2-1,,"Estadio La Corregidora, Querétaro",,
24,8 June 1986,Group E,Denmark,Uruguay,6-1,,"Estadio Neza 86, Nezahualcóyotl",,
35,13 June 1986,Group E,Denmark,West Germany,2-0,,"Estadio La Corregidora, Querétaro",,
36,13 June 1986,Group E,Scotland,Uruguay,0-0,,"Estadio Neza 86, Nezahualcóyotl",,
6,2 June 1986,Group F,Morocco,Poland,0-0,,"Estadio Universitario, Monterrey",,
9,3 June 1986,Group F,Portugal,England,1-0,,"Estadio Tecnológico, Monterrey",,
18,6 June 1986,Group F,England,Morocco,0-0,,"Estadio Tecnológico, Monterrey",,
21,7 June 1986,Group F,Poland,Portugal,1-0,,"Estadio Universitario, Monterrey",,
31,11 June 1986,Group F,Portugal,Morocco,1-3,,"Estadio Tres de Marzo, Guadalajara",,
32,11 June 1986,Group F,England,Poland,3-0,,"Estadio Tecnológico, Monterrey",,
37,23 June 1990,Round of 16,Cameroon,Colombia,2-1 a.e.t. (0-0),(0-0),"Stadio San Paolo, Naples",,
38,23 June 1990,Round of 16,Czechoslovakia,Costa Rica,4-1,,"Stadio San Nicola, Bari",,
39,24 June 1990,Round of 16,Brazil,Argentina,0-1,,"Stadio Delle Alpi, Turin",,
40,24 June 1990,Round of 16,West Germany,Netherlands,2-1,,"San Siro, Milan",,
41,25 June 1990,Round of 16,Ireland,Romania,5-4pen 0-0 a.e.t. (0-0),(0-0),"Stadio Luigi Ferraris, Genoa",,
42,25 June 1990,Round of 16,Italy,Uruguay,2-0,,"Stadio Olimpico, Rome",,
43,26 June 1990,Round of 16,Spain,Yugoslavia,1-2 a.e.t. (1-1),(1-1),"Stadio Marc'Antonio Bentegodi, Verona",,
44,26 June 1990,Round of 16,England,Belgium,1-0 a.e.t. (0-0),(0-0),"Stadio Renato Dall'Ara, Bologna",,
45,30 June 1990,Quarter finals,Yugoslavia,Argentina,2-3pen 0-0 a.e.t. (0-0),(0-0),"Stadio Artemio Franchi, Florence",,
46,30 June 1990,Quarter finals,Italy,Ireland,1-0,,"Stadio Olimpico, Rome",,
47,1 July 1990,Quarter finals,West Germany,Czechoslovakia,1-0,,"San Siro, Milan",,
48,1 July 1990,Quarter finals,England,Cameroon,3-2 a.e.t. (2-2),(2-2),"Stadio San Paolo, Naples",,
49,3 July 1990,Semi finals,Italy,Argentina,3-4pen 1-1 a.e.t. (1-1),(1-1),"Stadio San Paolo, Naples", Schillaci 17',Caniggia 67'
50,4 July 1990,Semi finals,West Germany,England,4-3pen 1-1 a.e.t. (1-1),(1-1),"Stadio delle Alpi, Turin", Brehme 60',Lineker 80'
51,7 July 1990,Third place match,Italy,England,2-1,,"Stadio San Nicola, Bari", Baggio 71' Schillaci 86' (pen.),Platt 81'
52,8 July 1990,Final,West Germany,Argentina,1-0,,"Stadio Olimpico, Rome", Brehme 85' (pen.),
3,9 June 1990,Group A,Italy,Austria,1-0,,"Stadio Olimpico, Rome",,
5,10 June 1990,Group A,United States,Czechoslovakia,1-5,,"Stadio Comunale, Florence",,
15,14 June 1990,Group A,Italy,United States,1-0,,"Stadio Olimpico, Rome",,
17,15 June 1990,Group A,Austria,Czechoslovakia,0-1,,"Stadio Comunale, Florence",,
29,19 June 1990,Group A,Italy,Czechoslovakia,2-0,,"Stadio Olimpico, Rome",,
30,19 June 1990,Group A,Austria,United States,2-1,,"Stadio Comunale, Florence",,
1,8 June 1990,Group B,Argentina,Cameroon,0-1,,"San Siro, Milan",,
2,9 June 1990,Group B,Soviet Union,Romania,0-2,,"Stadio San Nicola, Bari",,
13,13 June 1990,Group B,Argentina,Soviet Union,2-0,,"Stadio San Paolo, Naples",,
16,14 June 1990,Group B,Cameroon,Romania,2-1,,"Stadio San Nicola, Bari",,
25,18 June 1990,Group B,Argentina,Romania,1-1,,"Stadio San Paolo, Naples",,
26,18 June 1990,Group B,Cameroon,Soviet Union,0-4,,"Stadio San Nicola, Bari",,
6,10 June 1990,Group C,Brazil,Sweden,2-1,,"Stadio Delle Alpi, Turin",,
8,11 June 1990,Group C,Costa Rica,Scotland,1-0,,"Stadio Luigi Ferraris, Genoa",,
19,16 June 1990,Group C,Brazil,Costa Rica,1-0,,"Stadio Delle Alpi, Turin",,
20,16 June 1990,Group C,Sweden,Scotland,1-2,,"Stadio Luigi Ferraris, Genoa",,
31,20 June 1990,Group C,Brazil,Scotland,1-0,,"Stadio Delle Alpi, Turin",,
32,20 June 1990,Group C,Sweden,Costa Rica,1-2,,"Stadio Luigi Ferraris, Genoa",,
4,9 June 1990,Group D,United Arab,Colombia,0-2,,"Stadio Renato Dall'Ara, Bologna",,
7,10 June 1990,Group D,West Germany,Yugoslavia,4-1,,"San Siro, Milan",,
14,14 June 1990,Group D,Yugoslavia,Colombia,1-0,,"Stadio Renato Dall'Ara, Bologna",,
18,15 June 1990,Group D,West Germany,Arab Emirates,5-1,,"San Siro, Milan",,
27,19 June 1990,Group D,West Germany,Colombia,1-1,,"San Siro, Milan",,
28,19 June 1990,Group D,Yugoslavia,Arab Emirates,4-1,,"Stadio Renato Dall'Ara, Bologna",,
10,12 June 1990,Group E,Belgium,South Korea,2-0,,"Stadio Marc'Antonio Bentegodi, Verona",,
12,13 June 1990,Group E,Uruguay,Spain,0-0,,"Stadio Friuli, Udine",,
23,17 June 1990,Group E,Belgium,Uruguay,3-1,,"Stadio Marc'Antonio Bentegodi, Verona",,
24,17 June 1990,Group E,South Korea,Spain,1-3,,"Stadio Friuli, Udine",,
33,21 June 1990,Group E,Belgium,Spain,1-2,,"Stadio Marc'Antonio Bentegodi, Verona",,
34,21 June 1990,Group E,South Korea,Uruguay,0-1,,"Stadio Friuli, Udine",,
9,11 June 1990,Group F,England,Ireland,1-1,,"Stadio Sant'Elia, Cagliari",,
11,12 June 1990,Group F,Netherlands,Egypt,1-1,,"Stadio La Favorita, Palermo",,
21,16 June 1990,Group F,England,Netherlands,0-0,,"Stadio Sant'Elia, Cagliari",,
22,17 June 1990,Group F,Ireland,Egypt,0-0,,"Stadio La Favorita, Palermo",,
35,21 June 1990,Group F,England,Egypt,1-0,,"Stadio Sant'Elia, Cagliari",,
36,21 June 1990,Group F,Ireland,Netherlands,1-1,,"Stadio La Favorita, Palermo",,
37,2 July 1994,Round of 16,Germany,Belgium,3-2,,"Soldier Field, Chicago",,
38,2 July 1994,Round of 16,Spain,Switzerland,3-0,,"RFK Stadium, Washington",,
39,3 July 1994,Round of 16,Saudi Arabia,Sweden,1-3,,"Cotton Bowl, Dallas",,
40,3 July 1994,Round of 16,Romania,Argentina,3-2,,"Rose Bowl, Pasadena",,
41,4 July 1994,Round of 16,Netherlands,Ireland,2-0,,"Citrus Bowl, Orlando",,
42,4 July 1994,Round of 16,Brazil,United States,1-0,,"Stanford Stadium, Stanford",,
43,5 July 1994,Round of 16,Nigeria,Italy,1-2 a.e.t. (1-1),(1-1),"Foxboro Stadium, Foxborough",,
44,5 July 1994,Round of 16,Mexico,Bulgaria,1-3 pen. 1-1 a.e.t. (1-1),(1-1),"Giants Stadium, East Rutherford",,
45,9 July 1994,Quarter finals,Italy,Spain,2-1,,"Foxboro Stadium, Foxborough",,
46,9 July 1994,Quarter finals,Netherlands,Brazil,2-3,,"Cotton Bowl, Dallas",,
47,10 July 1994,Quarter finals,Bulgaria,Germany,2-1,,"Giants Stadium, East Rutherford",,
48,10 July 1994,Quarter finals,Romania,Sweden,4-5 pen. 2-2 a.e.t. (1-1),(1-1),"Stanford Stadium, Stanford",,
49,13 July 1994,Semi finals,Bulgaria,Italy,1-2,,"Giants Stadium, East Rutherford",,
50,13 July 1994,Semi finals,Sweden,Brazil,0-1,,"Rose Bowl, Pasadena",,
51,16 July 1994,Third place match,Sweden,Bulgaria,4-0,,"Rose Bowl, Pasadena",,
52,17 July 1994,Final,Brazil,Italy,3-2 pen. 0-0 a.e.t. (0-0),(0-0),"Rose Bowl, Pasadena",,
3,18 June 1994,Group A,United States,Switzerland,1-1,,"Pontiac Silverdome, Pontiac",,
5,18 June 1994,Group A,Colombia,Romania,1-3,,"Rose Bowl, Pasadena",,
14,22 June 1994,Group A,Romania,Switzerland,1-4,,"Pontiac Silverdome, Pontiac",,
15,22 June 1994,Group A,United States,Colombia,2-1,,"Rose Bowl, Pasadena",,
25,26 June 1994,Group A,United States,Romania,0-1,,"Rose Bowl, Pasadena",,
26,26 June 1994,Group A,Switzerland,Colombia,0-2,,"Stanford Stadium, Stanford",,
8,19 June 1994,Group B,Cameroon,Sweden,2-2,,"Rose Bowl, Pasadena",,
9,20 June 1994,Group B,Brazil,Russia,2-0,,"Stanford Stadium, Stanford",,
19,24 June 1994,Group B,Brazil,Cameroon,3-0,,"Stanford Stadium, Stanford",,
20,24 June 1994,Group B,Sweden,Russia,3-1,,"Pontiac Silverdome, Pontiac",,
31,28 June 1994,Group B,Russia,Cameroon,6-1,,"Stanford Stadium, Stanford",,
32,28 June 1994,Group B,Brazil,Sweden,1-1,,"Pontiac Silverdome, Pontiac",,
1,17 June 1994,Group C,Germany,Bolivia,1-0,,"Soldier Field, Chicago",,
2,17 June 1994,Group C,Spain,South Korea,2-2,,"Cotton Bowl, Dallas",,
12,21 June 1994,Group C,Germany,Spain,1-1,,"Soldier Field, Chicago",,
17,23 June 1994,Group C,South Korea,Bolivia,0-0,,"Foxboro Stadium, Foxborough",,
27,27 June 1994,Group C,Bolivia,Spain,1-3,,"Soldier Field, Chicago",,
28,27 June 1994,Group C,Germany,South Korea,3-2,,"Cotton Bowl, Dallas",,
11,21 June 1994,Group D,Argentina,Greece,4-0,,"Foxboro Stadium, Foxborough",,
13,21 June 1994,Group D,Nigeria,Bulgaria,3-0,,"Cotton Bowl, Dallas",,
23,25 June 1994,Group D,Argentina,Nigeria,2-1,,"Foxboro Stadium, Foxborough",,
24,26 June 1994,Group D,Greece,Bulgaria,0-4,,"Soldier Field, Chicago",,
35,30 June 1994,Group D,Greece,Nigeria,0-2,,"Foxboro Stadium, Foxborough",,
36,30 June 1994,Group D,Argentina,Bulgaria,0-2,,"Cotton Bowl, Dallas",,
4,18 June 1994,Group E,Italy,Ireland,0-1,,"Giants Stadium, East Rutherford",,
7,19 June 1994,Group E,Norway,Mexico,1-0,,"RFK Stadium, Washington",,
16,23 June 1994,Group E,Italy,Norway,1-0,,"Giants Stadium, East Rutherford",,
18,24 June 1994,Group E,Mexico,Ireland,2-1,,"Citrus Bowl, Orlando",,
29,28 June 1994,Group E,Ireland,Norway,0-0,,"Giants Stadium, East Rutherford",,
30,28 June 1994,Group E,Italy,Mexico,1-1,,"RFK Stadium, Washington",,
6,19 June 1994,Group F,Belgium,Morocco,1-0,,"Citrus Bowl, Orlando",,
10,20 June 1994,Group F,Netherlands,Saudi Arabia,2-1,,"RFK Stadium, Washington",,
21,25 June 1994,Group F,Belgium,Netherlands,1-0,,"Citrus Bowl, Orlando",,
22,25 June 1994,Group F,Saudi Arabia,Morocco,2-1,,"Giants Stadium, East Rutherford",,
33,29 June 1994,Group F,Morocco,Netherlands,1-2,,"Citrus Bowl, Orlando",,
34,29 June 1994,Group F,Belgium,Saudi Arabia,0-1,,"RFK Stadium, Washington",,
49,27 June 1998,Round of 16,Brazil,Chile,4-1,,"Parc des Princes, Paris",,
50,27 June 1998,Round of 16,Italy,Norway,1-0,,"Stade Vélodrome, Marseille",,
51,28 June 1998,Round of 16,Nigeria,Denmark,1-4,,"Stade de France, Saint-Denis",,
52,28 June 1998,Round of 16,France,Paraguay,1-0 a.e.t. (0-0),(0-0),"Stade Félix Bollaert, Lens",,
53,29 June 1998,Round of 16,Germany,Mexico,2-1,,"Stade de la Mosson, Montpellier",,
54,29 June 1998,Round of 16,Netherlands,Yugoslavia,2-1,,"Stade de Toulouse, Toulouse",,
55,30 June 1998,Round of 16,Argentina,England,4-3pen 2-2aet (2-2),(2-2),"Stade Geoffroy-Guichard, Saint-Étienne",,
56,30 June 1998,Round of 16,Romania,Croatia,0-1,,"Parc Lescure, Bordeaux",,
57,3 July 1998,Quarter finals,Italy,France,3-4pen 0-0 (0-0),(0-0),"Stade de France, Saint-Denis",,
58,3 July 1998,Quarter finals,Brazil,Denmark,3-2,,"Stade de la Beaujoire, Nantes",,
59,4 July 1998,Quarter finals,Germany,Croatia,0-3,,"Stade Gerland, Lyon",,
60,4 July 1998,Quarter finals,Netherlands,Argentina,2-1,,"Stade Vélodrome, Marseille",,
61,7 July 1998,Semi finals,Brazil,Netherlands,4-2pen 1-1aet (1-1),(1-1),"Stade Vélodrome, Marseille",,
62,8 July 1998,Semi finals,France,Croatia,2-1,,"Stade de France, Saint-Denis",,
63,11 July 1998,Third place match,Netherlands,Croatia,1-2,,"Parc des Princes, Paris",,
64,12 July 1998,Final,Brazil,France,0-3,,"Stade de France, Saint-Denis",,
1,10 June 1998,Group A,Brazil,Scotland,2-1,,"Stade de France, Saint-Denis",,
2,10 June 1998,Group A,Morocco,Norway,2-2,,"Stade de la Mosson, Montpellier",,
17,16 June 1998,Group A,Scotland,Norway,1-1,,"Parc Lescure, Bordeaux",,
18,16 June 1998,Group A,Brazil,Morocco,3-0,,"Stade de la Beaujoire, Nantes",,
34,23 June 1998,Group A,Scotland,Morocco,0-3,,"Stade Geoffroy-Guichard, Saint-Étienne",,
35,23 June 1998,Group A,Brazil,Norway,1-2,,"Stade Vélodrome, Marseille",,
3,11 June 1998,Group B,Cameroon,Austria,1-1,,"Stade de Toulouse, Toulouse",,
4,11 June 1998,Group B,Italy,Chile,2-2,,"Parc Lescure, Bordeaux",,
19,17 June 1998,Group B,Chile,Austria,1-1,,"Stade Geoffroy-Guichard, Saint-Étienne",,
20,17 June 1998,Group B,Italy,Cameroon,3-0,,"Stade de la Mosson, Montpellier",,
33,23 June 1998,Group B,Italy,Austria,2-1,,"Stade de France, Saint-Denis",,
36,23 June 1998,Group B,Chile,Cameroon,1-1,,"Stade de la Beaujoire, Nantes",,
5,12 June 1998,Group C,Saudi Arabia,Denmark,0-1,,"Stade Félix Bollaert, Lens",,
6,12 June 1998,Group C,France,South Africa,3-0,,"Stade Vélodrome, Marseille",,
21,18 June 1998,Group C,France,Saudi Arabia,4-0,,"Stade de France, Saint-Denis",,
22,18 June 1998,Group C,South Africa,Denmark,1-1,,"Stade de Toulouse, Toulouse",,
38,24 June 1998,Group C,France,Denmark,2-1,,"Stade Gerland, Lyon",,
40,24 June 1998,Group C,South Africa,Saudi Arabia,2-2,,"Parc Lescure, Bordeaux",,
7,12 June 1998,Group D,Paraguay,Bulgaria,0-0,,"Stade de la Mosson, Montpellier",,
10,13 June 1998,Group D,Spain,Nigeria,2-3,,"Stade de la Beaujoire, Nantes",,
23,19 June 1998,Group D,Nigeria,Bulgaria,1-0,,"Parc des Princes, Paris",,
24,19 June 1998,Group D,Spain,Paraguay,0-0,,"Stade Geoffroy-Guichard, Saint-Étienne",,
37,24 June 1998,Group D,Spain,Bulgaria,6-1,,"Stade Félix Bollaert, Lens",,
39,24 June 1998,Group D,Nigeria,Paraguay,1-3,,"Stade de Toulouse, Toulouse",,
8,13 June 1998,Group E,Netherlands,Belgium,0-0,,"Stade de France, Saint-Denis",,
